subj,node1,node2,irt5,irt9,irt95
S107,ferret,rat,1,1,1
S107,hippopotamus,puma,1,0,0
S107,robin,sparrow,1,1,1
S107,pelican,stork,1,1,1
S107,donkey,panther,1,1,1
S107,chicken,manatee,1,1,0
S107,octopus,squid,1,1,1
S107,giraffe,oryx,0,1,0
S107,hyena,leopard,1,0,0
S107,greatwhiteshark,skate,1,1,0
S107,boxturtle,snappingturtle,1,1,1
S107,bison,sheep,1,1,1
S107,tiger,whale,1,1,1
S107,frog,toad,1,1,1
S107,bulldog,tiger,1,1,1
S107,jellyfish,stingray,1,1,1
S107,flamingo,wolf,1,1,1
S107,kangaroo,rat,1,1,1
S107,stork,turtle,1,1,1
S107,panther,tiger,1,1,1
S107,bluewhale,hammerheadshark,1,1,0
S107,rattlesnake,skate,1,1,1
S107,fish,giraffe,0,1,0
S107,narwhal,seal,1,1,1
S107,eagle,sparrow,0,1,0
S107,cougar,orangutan,1,1,0
S107,manatee,seal,1,1,1
S107,beagle,fox,1,1,0
S107,fox,waterbuffalo,1,1,1
S107,bison,greatwhiteshark,1,1,1
S107,fox,manatee,0,1,1
S107,cougar,hippopotamus,1,0,0
S107,bear,fish,1,0,0
S107,fox,narwhal,1,0,0
S107,deer,orangutan,1,1,1
S107,lemur,orangutan,1,1,1
S107,bison,skate,1,1,1
S107,hawk,robin,1,0,0
S107,salmon,seaturtle,1,1,1
S107,bulldog,porpoise,1,0,0
S107,bison,donkey,1,0,0
S107,stork,toad,0,1,0
S107,boar,panther,1,1,1
S107,cougar,leopard,0,0,1
S107,cougar,puma,1,1,1
S107,octopus,stingray,1,0,0
S107,buffalo,giraffe,1,1,1
S107,leopard,tuna,1,1,1
S107,manatee,narwhal,1,1,1
S107,flamingo,turtle,1,0,0
S107,fox,wolfhound,1,1,1
S107,capybara,jaguar,1,1,1
S107,lemur,waterbuffalo,0,1,0
S107,greatwhiteshark,hammerheadshark,1,1,1
S107,manatee,orca,1,1,1
S107,jaguar,panther,0,0,1
S107,chicken,donkey,1,1,1
S107,bluewhale,narwhal,1,1,1
S107,gorilla,puma,1,1,1
S107,chimpanzee,cougar,1,1,1
S107,jellyfish,pelican,0,1,0
S107,antelope,oryx,1,1,1
S107,chicken,sheep,1,1,1
S107,bat,cod,1,1,1
S107,cow,manatee,1,1,1
S107,narwhal,whale,1,1,1
S107,flamingo,robin,1,1,1
S107,flamingo,stork,1,1,1
S107,capybara,rat,1,1,0
S107,buffalo,fish,1,1,1
S107,bobcat,snappingturtle,1,0,0
S107,bison,stork,0,0,1
S107,cheetah,puma,1,1,1
S107,capybara,mouse,1,1,1
S107,fox,seal,1,0,0
S107,hammerheadshark,salmon,1,1,1
S107,koala,orca,1,1,1
S107,narwhal,orca,1,1,1
S107,catamount,hippopotamus,0,1,1
S107,leopard,tiger,1,1,0
S107,antelope,hyena,1,1,1
S107,cod,tuna,1,1,1
S107,salmon,tuna,1,1,1
S107,hyena,rattlesnake,1,1,1
S107,jaguar,tiger,1,1,0
S107,beagle,wolfhound,1,1,1
S107,bulldog,lion,0,1,0
S107,giraffe,hyena,0,0,1
S107,leopard,salmon,0,1,0
S107,hyena,jaguar,1,0,1
S107,bluewhale,greatwhiteshark,1,1,1
S107,koala,panda,1,1,1
S107,toad,turtle,0,0,1
S107,catamount,puma,1,1,1
S107,panda,rat,1,1,1
S107,donkey,sheep,1,1,1
S107,pelican,stingray,1,1,1
S107,robin,sheep,1,1,1
S107,beagle,wolf,1,1,0
S107,cheetah,rhinoceros,1,1,1
S107,rhinoceros,tiger,0,1,0
S107,hippopotamus,rhinoceros,1,1,1
S107,bison,squid,1,0,0
S107,boxturtle,seaturtle,0,1,0
S107,bobcat,boxturtle,1,1,1
S107,humpbackwhale,orca,1,1,1
S107,beagle,bobcat,1,1,0
S107,bobcat,wolf,0,1,1
S107,frog,rattlesnake,1,1,1
S107,chicken,horse,1,1,0
S107,rattlesnake,toad,1,1,0
