idx,cf,ef,numitems,persev,clustersize,clusterswitch
381,0.1,0.21,14.5,1.06,2.15517027417,6.14
382,0.1,0.22,14.3,1.22,2.3261031746,5.76
383,0.1,0.23,14.28,1.2,2.37727344877,5.86
384,0.1,0.24,14.18,0.98,2.11398989899,6.34
385,0.1,0.25,14.34,1.16,2.33171428571,5.9
386,0.1,0.26,14.14,0.88,2.39130808081,5.6
387,0.1,0.27,13.5,0.9,2.30553174603,5.38
388,0.1,0.28,13.56,0.98,2.47996320346,5.02
389,0.1,0.29,13.54,0.94,2.12904329004,5.88
390,0.1,0.3,13.32,1.14,2.38297619048,5.24
391,0.1,0.31,13.1,1.0,2.24321645022,5.48
392,0.1,0.32,13.26,0.8,2.51849494949,5.24
393,0.1,0.33,13.3,0.98,1.96658874459,6.22
394,0.1,0.34,12.66,1.04,2.36251587302,5.08
395,0.1,0.35,12.88,1.24,2.12644444444,5.48
396,0.11,0.0,17.0,1.0,2.41956854257,6.62
397,0.11,0.01,16.86,0.92,2.43200865801,6.56
398,0.11,0.02,16.8,1.14,2.18212715063,7.18
399,0.11,0.03,16.86,1.14,2.39567099567,6.68
400,0.11,0.04,16.68,1.44,2.34286091686,6.76
401,0.11,0.05,16.62,1.02,2.43778210678,6.62
402,0.11,0.06,16.46,1.3,2.31315945166,6.6
403,0.11,0.07,16.22,1.16,2.19722294372,6.96
404,0.11,0.08,16.12,1.34,2.52033766234,6.16
405,0.11,0.09,15.96,1.22,2.45046392496,6.22
406,0.11,0.1,15.78,1.34,2.61583688534,6.06
407,0.11,0.11,15.86,1.18,2.3598015873,6.28
408,0.11,0.12,15.9,0.84,2.29999494949,6.74
409,0.11,0.13,15.58,1.3,2.27901010101,6.28
410,0.11,0.14,15.2,1.16,2.17446753247,6.46
411,0.11,0.15,14.98,0.96,2.34138095238,6.06
412,0.11,0.16,15.18,1.5,2.31808946609,6.1
413,0.11,0.17,15.26,1.26,2.34182900433,6.02
414,0.11,0.18,15.06,1.12,2.10941552892,6.74
415,0.11,0.19,15.0,0.86,2.27983549784,6.2
416,0.11,0.2,14.86,1.36,2.19793595294,6.32
417,0.11,0.21,14.74,1.26,2.10258513709,6.4
418,0.11,0.22,14.64,0.92,2.18082395382,6.4
419,0.11,0.23,14.4,1.06,2.32767460317,5.78
420,0.11,0.24,14.1,0.94,2.22616161616,5.84
421,0.11,0.25,13.72,0.92,2.10432251082,6.08
422,0.11,0.26,13.74,1.18,2.39482251082,5.56
423,0.11,0.27,13.36,1.02,2.48142063492,5.14
424,0.11,0.28,13.86,1.24,2.32246031746,5.6
425,0.11,0.29,13.52,1.04,2.29806349206,5.32
426,0.11,0.3,13.48,0.92,2.09334487734,5.82
427,0.11,0.31,13.36,0.8,2.1912965368,5.64
428,0.11,0.32,13.62,0.94,2.23450649351,5.74
429,0.11,0.33,12.64,0.9,2.18224891775,5.36
430,0.11,0.34,12.58,0.9,2.26881623932,5.34
431,0.11,0.35,12.38,0.96,1.95823809524,5.98
432,0.12,0.0,17.0,1.52,2.46053912754,6.7
433,0.12,0.01,16.94,1.28,2.30514430014,6.96
434,0.12,0.02,16.76,1.2,2.30041702742,6.82
435,0.12,0.03,16.78,1.42,2.51559235209,6.44
436,0.12,0.04,16.66,1.32,2.17857104007,7.28
437,0.12,0.05,16.64,1.06,2.13042945943,7.28
438,0.12,0.06,16.52,1.18,2.27651515152,6.8
439,0.12,0.07,16.12,1.3,2.54129004329,5.88
440,0.12,0.08,16.02,1.18,2.43575457875,6.3
441,0.12,0.09,15.98,1.24,2.3885988456,6.14
442,0.12,0.1,16.08,0.96,2.12302020202,6.96
443,0.12,0.11,15.66,1.26,2.52431068931,5.98
444,0.12,0.12,15.84,1.24,2.27677722278,6.46
445,0.12,0.13,15.44,1.2,2.27306293706,6.4
446,0.12,0.14,15.58,1.0,2.28638672439,6.38
447,0.12,0.15,15.5,1.46,2.36351226551,6.64
448,0.12,0.16,15.4,1.48,2.34755411255,6.12
449,0.12,0.17,14.92,1.02,2.27466233766,6.22
450,0.12,0.18,14.9,1.36,2.36872721723,5.86
451,0.12,0.19,14.44,1.18,2.56438861139,5.62
452,0.12,0.2,14.88,1.26,2.12236291486,6.5
453,0.12,0.21,14.2,1.1,2.29234776335,5.76
454,0.12,0.22,14.6,1.1,2.14808730159,6.36
455,0.12,0.23,14.32,1.14,2.11472455322,6.38
456,0.12,0.24,14.14,1.04,2.15426623377,6.16
457,0.12,0.25,13.72,1.2,2.31487851038,5.6
458,0.12,0.26,14.26,1.72,2.40820923521,5.76
459,0.12,0.27,13.58,1.36,2.17403463203,5.88
460,0.12,0.28,13.4,1.26,2.15269047619,5.72
461,0.12,0.29,13.66,1.24,2.18898412698,5.76
462,0.12,0.3,13.68,1.22,2.05690981241,6.32
463,0.12,0.31,13.16,1.16,2.40927200577,5.38
464,0.12,0.32,13.14,1.24,2.15346031746,5.48
465,0.12,0.33,12.88,1.22,2.19053246753,5.34
466,0.12,0.34,13.2,1.28,2.28400793651,5.24
467,0.12,0.35,12.44,0.96,2.18741269841,5.24
468,0.13,0.0,17.0,1.44,2.24388111888,7.24
469,0.13,0.01,16.92,2.06,2.44817532468,6.82
470,0.13,0.02,16.8,1.0,2.24387007437,7.08
471,0.13,0.03,16.68,1.48,2.23244821845,7.14
472,0.13,0.04,16.58,1.6,2.35094444444,6.52
473,0.13,0.05,16.58,1.18,2.28373809524,6.66
474,0.13,0.06,16.2,1.54,2.30907864358,6.62
475,0.13,0.07,16.06,1.28,2.28175829726,6.52
476,0.13,0.08,16.16,1.16,2.2469047619,6.64
