subj,item1,item2,edge,
NA,goose,leopard,0,
NA,goose,snake,0,
NA,goose,grizzlybear,0,
NA,goose,rooster,0,
NA,goose,peacock,0,
NA,goose,monkey,0,
NA,goose,hyena,0,
NA,goose,mouse,0,
NA,goose,lovebird,0,
NA,goose,persian,0,
NA,goose,whale,0,
NA,goose,rhinoceros,0,
NA,goose,warthog,0,
NA,goose,humunukuapua,0,
NA,goose,guineapig,0,
NA,goose,robin,0,
NA,goose,grasshopper,0,
NA,goose,snail,0,
NA,goose,tortoise,0,
NA,goose,turkey,0,
NA,goose,jaguar,0,
NA,goose,zebra,0,
NA,wolf,zebra,0,
NA,leopard,lion,0,
NA,leopard,parrot,0,
NA,leopard,poodle,0,
NA,leopard,sunconure,0,
NA,leopard,pigeon,0,
NA,leopard,pig,0,
NA,leopard,sparrow,0,
NA,leopard,pufferfish,0,
NA,leopard,slug,0,
NA,leopard,pheasant,0,
NA,leopard,quail,0,
NA,leopard,polarbear,0,
NA,leopard,swan,0,
NA,leopard,terrier,0,
NA,leopard,shark,0,
NA,leopard,russianblue,0,
NA,leopard,llama,0,
NA,leopard,wolf,0,
NA,leopard,snake,1,
NA,leopard,rooster,0,
NA,leopard,peacock,0,
NA,leopard,monkey,0,
NA,leopard,mouse,0,
NA,leopard,lovebird,0,
NA,leopard,persian,0,
NA,leopard,whale,0,
NA,leopard,rhinoceros,0,
NA,leopard,warthog,1,
NA,leopard,robin,0,
NA,leopard,snail,0,
NA,leopard,tortoise,0,
NA,leopard,turkey,0,
NA,leopard,zebra,0,
NA,antelope,hare,0,
NA,antelope,lion,0,
NA,antelope,parrot,0,
NA,antelope,poodle,0,
NA,antelope,hippopotamus,0,
NA,antelope,sunconure,0,
NA,antelope,pigeon,0,
NA,antelope,pig,0,
NA,antelope,bunny,0,
NA,antelope,sparrow,0,
NA,antelope,pufferfish,0,
NA,antelope,slug,0,
NA,antelope,pheasant,0,
NA,antelope,chicken,0,
NA,antelope,giraffe,0,
NA,antelope,quail,0,
NA,antelope,bee,0,
NA,antelope,polarbear,0,
