subj,node1,node2,uinvite,rw,windowvalid,uinvite_prior
S101,cheetah,bee,1,1,0,1
S101,cheetah,chipmunk,1,1,0,1
S101,cheetah,cougar,1,1,0,1
S101,cheetah,deer,1,1,0,1
S101,cheetah,giraffe,1,1,0,1
S101,cheetah,hyena,1,1,0,1
S101,cheetah,seal,1,1,0,1
S101,cheetah,wolf,1,1,0,1
S101,cheetah,zebra,1,1,0,1
S101,chicken,fox,1,1,0,1
S101,chinchilla,ferret,1,1,0,1
S101,chinchilla,rabbit,1,1,0,1
S101,chipmunk,pig,1,1,0,1
S101,chipmunk,sloth,1,1,0,1
S101,cod,trout,1,1,0,1
S101,cougar,bison,1,1,0,1
S101,cougar,jaguar,1,1,0,1
S101,cougar,mongoose,1,1,0,1
S101,cougar,ocelot,1,1,0,1
S101,cougar,wolf,1,1,0,1
S101,cow,buffalo,1,1,0,1
S101,cow,owl,1,1,0,1
S101,crocodile,chinchilla,1,1,0,1
S101,crocodile,ferret,1,1,0,1
S101,crocodile,hyena,1,1,0,1
S101,crocodile,kangaroo,1,1,0,1
S101,crocodile,rabbit,1,1,0,1
S101,crow,tiger,1,1,0,1
S101,dingo,hyena,1,1,0,1
S101,dog,human,1,1,0,1
S101,dolphin,lemur,1,1,0,1
S101,dolphin,monkey,1,1,0,1
S101,dolphin,polarbear,1,1,0,1
S101,duck,turkey,1,1,0,1
S101,eagle,bat,1,1,0,1
S101,elephant,antelope,1,1,0,1
S101,elephant,cheetah,1,1,0,1
S101,elephant,fish,1,1,0,1
S101,elephant,hyena,1,1,0,1
S101,elephant,spider,1,1,0,1
S101,falcon,owl,1,1,0,1
S101,ferret,cow,1,1,0,1
S101,ferret,deer,1,1,0,1
S101,ferret,koalabear,1,1,0,1
S101,ferret,owl,1,1,0,1
S101,fish,pig,1,1,0,1
S101,fish,whale,1,1,0,1
S101,flamingo,owl,1,1,0,1
S101,fly,spider,1,1,0,1
S101,fox,deer,1,1,0,1
S101,fox,owl,1,1,0,1
S101,frog,snake,1,1,0,1
S101,frog,squirrel,1,1,0,1
S101,frog,turtle,1,1,0,1
S101,gazelle,horse,1,1,0,1
S101,gazelle,lion,1,1,0,1
S101,gazelle,puma,1,1,0,1
S101,giraffe,monkey,1,1,0,1
S101,giraffe,ostrich,1,1,0,1
S101,giraffe,panda,1,1,0,1
S101,goat,penguin,1,1,0,1
S101,grizzlybear,deer,1,1,0,1
S101,hawk,fox,1,1,0,1
S101,hawk,vulture,1,1,0,1
S101,hippopotamus,hyena,1,1,0,1
S101,horse,jaguar,1,1,0,1
S101,hyena,jaguar,1,1,0,1
S101,hyena,kangaroo,1,1,0,1
S101,hyena,leopard,1,1,0,1
S101,hyena,pig,1,1,0,1
S101,hyena,rattlesnake,1,1,0,1
S101,kangaroo,fox,1,1,0,1
S101,kangaroo,gerbil,1,1,0,1
S101,kangaroo,koalabear,1,1,0,1
S101,kangaroo,mouse,1,1,0,1
S101,kangaroo,tiger,1,1,0,1
S101,kangaroo,whale,1,1,0,1
S101,lemur,buffalo,1,1,0,1
S101,lemur,skunk,1,1,0,1
S101,lemur,tortoise,1,1,0,1
S101,lion,panther,1,1,0,1
S101,lion,squirrel,1,1,0,1
S101,lion,wolf,1,1,0,1
S101,llama,kangaroo,1,1,0,1
S101,llama,turtle,1,1,0,1
S101,manatee,fox,1,1,0,1
S101,manatee,walrus,1,1,0,1
S101,mantis,ocelot,1,1,0,1
S101,mink,seal,1,1,0,1
S101,mongoose,fox,1,1,0,1
S101,monkey,donkey,1,1,0,1
S101,monkey,jaguar,1,1,0,1
S101,monkey,panther,1,1,0,1
S101,monkey,sloth,1,1,0,1
S101,narwhal,humpbackwhale,1,1,0,1
S101,ostrich,falcon,1,1,0,1
S101,ostrich,lion,1,1,0,1
S101,ostrich,penguin,1,1,0,1
S101,ostrich,polarbear,1,1,0,1
S101,ostrich,squirrel,1,1,0,1
S101,otter,gerbil,1,1,0,1
S101,otter,whale,1,1,0,1
S101,panda,bear,1,1,0,1
S101,panda,deer,1,1,0,1
S101,panda,otter,1,1,0,1
S101,panda,penguin,1,1,0,1
S101,panda,salmon,1,1,0,1
S101,panda,scorpion,1,1,0,1
S101,panda,tiger,1,1,0,1
S101,panda,walrus,1,1,0,1
S101,parrot,falcon,1,1,0,1
S101,parrot,hippopotamus,1,1,0,1
S101,parrot,horse,1,1,0,1
S101,parrot,iguana,1,1,0,1
S101,parrot,owl,1,1,0,1
S101,parrot,pigeon,1,1,0,1
S101,penguin,gorilla,1,1,0,1
S101,pigeon,deer,1,1,0,1
S101,platypus,scorpion,1,1,0,1
S101,possum,otter,1,1,0,1
S101,rabbit,cat,1,1,0,1
S101,rabbit,fish,1,1,0,1
S101,rabbit,parrot,1,1,0,1
S101,rabbit,pig,1,1,0,1
S101,rabbit,rat,1,1,0,1
S101,rabbit,seal,1,1,0,1
S101,rabbit,slowloris,1,1,0,1
S101,rat,cow,1,1,0,1
S101,rat,ferret,1,1,0,1
S101,rat,scorpion,1,1,0,1
S101,rhinoceros,dingo,1,1,0,1
S101,salmon,fox,1,1,0,1
S101,salmon,pig,1,1,0,1
S101,scorpion,deer,1,1,0,1
S101,seagull,rat,1,1,0,1
S101,seal,polarbear,1,1,0,1
S101,sealion,manatee,1,1,0,1
S101,shark,antelope,1,1,0,1
S101,shark,jaguar,1,1,0,1
S101,shark,seal,1,1,0,1
S101,shark,snake,1,1,0,1
S101,shark,spider,1,1,0,1
S101,shark,turtle,1,1,0,1
S101,sheep,buffalo,1,1,0,1
S101,skunk,moose,1,1,0,1
S101,snake,cow,1,1,0,1
S101,snake,gorilla,1,1,0,1
S101,snake,horse,1,1,0,1
S101,snake,hyena,1,1,0,1
S101,snake,leopard,1,1,0,1
S101,snake,orangutan,1,1,0,1
S101,snake,wolf,1,1,0,1
S101,spider,bee,1,1,0,1
S101,spider,monkey,1,1,0,1
S101,squirrel,pig,1,1,0,1
S101,starfish,lobster,1,1,0,1
S101,tiger,gorilla,1,1,0,1
S101,tiger,ocelot,1,1,0,1
S101,tiger,octopus,1,1,0,1
S101,tiger,wolf,1,1,0,1
S101,tortoise,wolf,1,1,0,1
S101,tuna,cod,1,1,0,1
S101,turtle,ferret,1,1,0,1
