subj,node1,node2,s2017_uinvite_hierarchical_bb_a1_b1,s2017_rw,s2017_fe,s2017_goni,s2017_chan,s2017_kenett,s2017_uinvite_flat,s2017_uinvite_hierarchical_zibb_a2_b1_p5
S100,bat,deer,0,1,0,0,0,0,1,0
S100,monkey,capuchin,1,1,0,0,1,0,1,1
S100,horse,cow,0,1,1,1,1,0,1,1
S100,platypus,spider,0,1,0,0,0,0,1,0
S100,coyote,hippopotamus,0,1,0,0,0,0,1,0
S100,seagull,lynx,0,1,0,0,0,0,1,1
S100,mink,honeybadger,0,0,0,0,0,1,0,0
S100,turtle,raccoon,0,1,0,0,0,0,1,0
S100,echidna,earthworm,1,1,0,0,1,0,1,1
S100,cat,mouse,0,1,0,0,0,0,1,0
S100,walrus,cricket,0,0,0,0,0,1,0,0
S100,dog,buffalo,0,0,0,0,0,1,0,0
S100,dog,lion,0,1,0,0,1,0,1,0
S100,lion,alligator,0,1,0,0,1,0,1,0
S100,puma,fox,0,1,0,0,0,0,1,0
S100,giraffe,aardvark,0,1,0,0,0,0,1,0
S100,bonobo,ape,1,1,0,1,0,0,1,1
S100,hog,guineapig,0,1,0,0,0,0,1,0
S100,polarbear,walrus,0,1,0,0,0,0,1,0
S100,horse,duck,0,1,0,0,0,0,1,0
S100,tortoise,seal,0,1,0,0,0,0,1,0
S100,iguana,python,1,1,0,0,0,0,1,1
S100,fly,cat,0,1,0,0,0,0,1,0
S100,jellyfish,manatee,0,1,0,0,0,0,1,1
S100,bird,polarbear,0,1,0,0,0,0,1,0
S100,komododragon,zebra,0,1,0,0,0,0,1,0
S100,rooster,elk,0,1,0,0,0,0,1,0
S100,badger,rooster,0,1,0,0,0,0,1,0
S100,tapir,gecko,0,0,0,0,0,1,0,0
S100,peacock,killerwhale,0,0,0,0,0,1,0,0
S100,raven,assassinbug,0,0,0,0,0,1,0,0
S100,horse,fox,0,1,0,0,0,0,1,0
S100,fawn,rabbit,0,1,0,0,0,0,1,0
S100,clam,fish,1,1,0,0,0,0,1,1
S100,snake,robin,0,1,0,0,0,0,1,0
S100,carp,mussel,0,1,0,0,0,1,1,0
S100,crocodile,otter,0,1,0,0,0,0,1,0
S100,fawn,mink,1,1,0,0,0,0,1,0
S100,bessbug,crab,0,0,0,0,0,1,0,0
S100,crow,pigeon,1,1,0,1,1,0,1,1
