subj,node1,node2,rw,fe,goni,chan,kenett
S100,bird,sloth,1,0,0,0,0
S100,cheetah,lion,1,1,1,1,0
S100,dragonfly,goose,0,0,0,0,1
S100,dog,chicken,1,0,0,0,0
S100,chicken,toad,1,0,0,0,0
S100,sheep,swan,0,0,0,0,1
S100,bird,macaque,0,0,0,0,1
S100,ibis,goby,0,0,0,0,1
S100,nutria,deer,1,0,0,0,0
S100,otter,beaver,1,0,1,0,0
S100,parrot,ostrich,1,0,0,0,0
S100,treefrog,swallow,0,0,0,0,1
S100,mouse,raccoon,1,0,0,0,0
S100,tuna,bear,0,0,0,0,1
S100,mountainlion,leopard,1,0,1,1,0
S100,raptor,deer,0,0,0,0,1
S100,shark,jellyfish,1,0,1,0,0
S100,ibex,gorilla,1,0,0,0,0
S100,boaconstrictor,minnow,0,0,0,0,1
S100,whale,buffalo,0,0,0,0,1
S100,weasel,raptor,0,0,0,0,1
S100,elephant,chihuahua,1,0,0,1,0
S100,ibex,tick,0,0,0,0,1
S100,chicken,ram,0,0,0,0,1
S100,salmon,squid,1,0,1,0,0
S100,magpie,frog,1,0,0,0,0
S100,velociraptor,alligator,1,0,0,1,0
S100,monkey,slug,1,0,0,0,0
S100,monkey,koala,1,0,0,0,0
S100,monkey,fox,1,0,0,0,0
S100,pigeon,bee,1,0,0,0,0
S100,mussel,clam,1,0,1,1,0
S100,panda,lion,1,0,0,0,0
S100,guineapig,rabbit,1,0,1,0,0
S100,mantaray,opossum,0,0,0,0,1
S100,spider,bear,1,0,0,0,0
S100,sparrow,chinchilla,1,0,0,0,0
S100,cat,gorilla,1,0,0,0,0
S100,bird,fox,1,0,0,0,0
S100,panda,tortoise,1,0,0,0,0
S100,shark,macaque,0,0,0,0,1
S100,hawk,sparrow,1,0,1,0,0
S100,iguana,giraffe,1,0,0,0,0
S100,brownbear,polarbear,0,0,1,0,0
S100,fly,seal,1,0,0,0,0
S100,rhinoceros,stallion,0,0,0,0,1
S100,buzzard,deer,1,0,0,1,0
S100,chihuahua,germanshepherd,1,0,0,1,0
S100,otter,alligator,1,0,0,0,0
S100,turtle,cat,1,0,0,0,0
S100,labradorretriever,poodle,1,0,0,1,0
S100,anaconda,chowchow,0,0,0,0,1
S100,squirrel,fox,1,0,0,0,0
S100,boaconstrictor,howlermonkey,0,0,0,0,1
S100,bear,hamster,1,1,0,0,1
S100,squirrel,owl,1,0,0,0,0
S100,grizzlybear,tiger,1,0,0,0,0
S100,goldfish,hamster,1,0,1,0,0
S100,monitor,flamingo,0,0,0,0,1
S100,tapir,marlin,1,0,0,0,0
S100,spider,duck,0,0,0,0,1
S100,parrot,gnu,1,0,0,1,0
S100,wolverine,redfox,0,0,0,0,1
S100,coyote,bonobo,1,0,0,0,0
S100,bear,lion,1,0,1,1,0
S100,antelope,elk,1,0,0,0,0
S100,salmon,trout,1,0,1,1,0
S100,chihuahua,chipmunk,0,0,0,0,1
S100,beardeddragon,orangutan,0,0,0,0,1
S100,snake,deer,1,0,0,0,0
S100,fawn,antelope,1,0,1,1,0
S100,dingo,bass,0,0,0,0,1
S100,zebra,gerbil,1,0,0,0,0
S100,lion,octopus,0,0,0,0,1
S100,woodchuck,owl,0,0,0,0,1
S100,dove,worm,1,0,0,0,0
S100,quahog,rabbit,1,0,0,1,0
S100,kangaroo,pig,1,0,0,0,0
S100,groundhog,duck,1,0,0,0,0
S100,salamander,lizard,1,0,1,0,0
S100,lizard,gorilla,1,0,0,0,0
S100,goat,rabbit,1,0,0,0,0
S100,tiger,lynx,1,0,0,0,0
S100,panther,bandicoot,0,0,0,0,1
S100,lemur,pitbull,0,0,0,0,1
S100,crocodile,hawk,1,0,0,0,0
S100,crow,starfish,0,0,0,0,1
S100,kangaroo,sandshark,0,0,0,0,1
S100,rooster,rabbit,1,0,0,0,0
S100,tortoise,aardvark,1,0,0,0,0
S100,seal,polarbear,1,0,1,0,0
S100,lemur,jaguar,1,0,0,0,0
S100,blackbear,cobra,1,0,0,0,0
S100,spider,cockroach,1,0,1,1,0
S100,chicken,turkey,1,0,1,1,0
