subj,node1,node2,u-invite,rw
S11,jellyfish,hammerheadshark,1,1
S11,tibetanterrier,terrier,1,1
S11,dolphin,clownfish,1,1
S11,parrot,minnoq,1,1
S11,tibetanterrier,dog,1,1
S11,tibetanterrier,palmeranian,1,1
S11,shark,hammerheadshark,1,1
S11,spidermonkey,howlermonkiey,1,1
S11,orangutan,gorilla,1,1
S11,grizzlybear,bear,1,1
S11,terrier,rottweiler,1,1
S11,coyote,wolf,1,1
S11,sparrow,toucan,1,1
S11,whaleshark,whale,1,1
S11,cardinal,finch,1,1
S11,snowleopard,lion,1,1
S11,orca,greatwhiteshark,1,1
S11,moth,anteater,1,1
S11,bear,blackbear,1,1
S11,redant,ant,1,1
S11,cougar,mountainlion,1,1
S11,gibbon,blackbear,1,1
S11,bottlenoseddolphin,hammerheadshark,1,1
S11,poodle,goldenretriever,1,1
S11,orangutan,tarsier,1,1
S11,antelope,palmeranian,1,1
S11,gardnersnake,worm,1,1
S11,shark,toad,1,1
S11,lab,husky,1,1
S11,tieger,siberiantiger,1,1
S11,aardvark,leopard,1,1
S11,squirrel,cheetah,1,1
S11,lotu,owl,1,1
S11,moose,deer,1,1
S11,hawk,goldeneagle,1,1
S11,cat,siamesecat,1,1
S11,croc,wildabeast,1,1
S11,panther,bengal,1,1
S11,hawk,red-tailedhawk,1,1
S11,baldeagle,goldeneagle,1,1
S11,seal,sealion,1,1
S11,gecko,amphibian,1,1
S11,mtn.lion,lion,1,1
S11,rottweiler,germanshepherd,1,1
S11,hummungbird,magpie,1,1
S11,hippo,wildabeast,1,1
S11,puddle,goldendoodle,1,1
S11,bird,owl,1,1
S11,mayfly,tadpole,1,1
S11,goldenretreiver,dog,1,1
S11,bluewhale,humpbackwhale,1,1
S11,shark,mantaray,1,1
S11,orca,bluewhale,1,1
S11,goldenretriever,terrier,1,1
S11,jellyfish,stingray,1,1
S11,halibut,trout,1,1
S11,owl,toucan,1,1
S11,bonobo,chimp,1,1
S11,rhesusmonkey,lizard,1,1
S11,lion,husky,1,1
S11,tarsier,bonobo,1,1
S11,sealion,seakl,1,1
S11,bear,mantaray,1,1
S11,dinosaur,reptile,1,1
S11,jellyfish,zebra,1,1
S11,beagle,pug,1,1
S11,minihorse,cat,1,1
S11,alligator,stork,1,1
S11,goldenretriever,tibetanterrier,1,1
S11,chimpanzee,gibbon,1,1
S11,goldfish,turtle,1,1
S11,aardvark,giraffe,1,1
S11,bonobo,chimpanzeee,1,1
S11,goldenretriever,beagle,1,1
S11,stallion,horse,1,1
S11,seagull,finch,1,1
S11,bullshark,tigershark,1,1
S11,gazelle,wildabeast,1,1
S11,redant,dragonfly,1,1
S11,seal,polarbear,1,1
S11,owl,finch,1,1
S11,mare,mustang,1,1
S11,tiger,hermitcrab,1,1
S11,parrat,bird,1,1
S11,cat,dog,1,1
S11,python,snake,1,1
S11,squirrel,hedgehog,1,1
S11,sheepdog,germanshepherd,1,1
S11,squirrel,bunny,1,1
S11,bonobo,wildabeast,1,1
S11,magpie,finch,1,1
S11,iguana,marineiguana,1,1
S11,tadpole,toad,1,1
S11,dolphin,bottlenoseddolphin,1,1
S11,clownfish,blownfish,1,1
S11,eel,mantaray,1,1
S11,coyote,gazelle,1,1
S11,sealion,hammerheadshark,1,1
S11,orangutan,gibbon,1,1
S11,grizzly,blackbear,1,1
S11,elephant,clownfish,1,1
S11,barnowl,hawk,1,1
S11,gazelle,salmon,1,1
S11,barnowl,elfowl,1,1
S11,octopu,giantsquid,1,1
S11,mantaray,sealion,1,1
S11,antelope,giraffe,1,1
S11,seagull,boobie,1,1
S11,grizzlybear,blackbear,1,1
S11,bear,spiritbear,1,1
S11,siberianhusky,wolf,1,1
S11,clam,oyster,1,1
S11,giraffe,rhino,1,1
S11,pandabear,blackbear,1,1
S11,whaleshark,hammerheadshark,1,1
S11,dolphin,hammerheadshark,1,1
S11,mouse,rat,1,1
S11,barnowl,owl,1,1
S11,siberianhusky,bloodhound,1,1
S11,giraffe,wildabeast,1,1
S11,elk,deer,1,1
S11,lizard,gecko,1,1
S11,bear,wolf,1,1
S11,grizzlybear,polarbear,1,1
S11,spermhale,humpbackwhale,1,1
S11,lemur,otter,1,1
S11,shark,whaleshark,1,1
S11,mare,horse,1,1
S11,eagle,elfowl,1,1
S11,weinerdog,beagle,1,1
S11,rottweiler,bloodhound,1,1
S11,greatwhiteshark,whale,1,1
S11,cobra,mountainlion,1,1
S11,mosquito,ant,1,1
S11,bottlenoseddolphin,eel,1,1
S11,coyote,beacer,1,1
S11,whale,tigershark,1,1
S11,lab,labradoodle,1,1
S11,tiger,mountainlion,1,1
S11,cougar,mare,1,1
S11,bullshark,greatwhiteshark,1,1
S11,cat,lion,1,1
S11,moose,gazelle,1,1
S11,catfish,tuna,1,1
S11,brownbear,blackbear,1,1
S11,sparrow,pelican,1,1
S11,poodle,goldendoodle,1,1
S11,hippo,rhino,1,1
S11,clam,trout,1,1
S11,shark,greatwhiteshark,1,1
S11,howlermonkiey,spider,1,1
S11,lab,yorkie,1,1
S11,orca,hammerheadshark,1,1
S11,weasel,terrier,1,1
S11,alligator,fish,1,1
S11,siberiantiger,bengal,1,1
S11,rhesusmonkey,monkey,1,1
S11,tarsier,lemur,1,1
S11,owl,rat,1,1
S11,blue-footedboobie,boobie,1,1
S11,lab,goldendoodle,1,1
S11,hippo,anaconda,1,1
S11,aliigator,salamander,1,1
S11,walru,seakl,1,1
S11,germanshephard,wolf,1,1
S11,monkey,bengal,1,1
S11,killerwhale,whaleshark,1,1
S11,sharpei,yorkie,1,1
S11,swissmountaindog,germanshepherd,1,1
S11,bear,grizzly,1,1
S11,gibbn,monkey,1,1
S11,coyote,fox,1,1
S11,minnow,hermitcrab,1,1
S11,antelope,gazelle,1,1
S11,tortoise,hedgehog,1,1
S11,brownbear,spiritbear,1,1
S11,crocodile,wildaeast,1,1
S11,goldfish,tibetanterrier,1,1
S11,whale,humpbackwhale,1,1
S11,goldfish,tuna,1,1
S11,sharpei,deer,1,1
S11,minnow,oyster,1,1
S11,grizzlybear,human,1,1
S11,robin,magpie,1,1
S11,frog,gecko,1,1
S11,fish,crustacean,1,1
S11,gardersnake,rattlesnake,1,1
S11,frog,tadpole,1,1
S11,bloodhound,yorkie,1,1
S11,elepjhant,hippo,1,1
S11,tiger,lion,1,1
S11,lotu,preyingmanti,1,1
S11,kingcobra,rattlesnake,1,1
S11,cheetah,gazelle,1,1
S11,cat,human,1,1
S11,fish,lemur,1,1
S11,moose,elk,1,1
S11,elephant,rhino,1,1
S11,orangutan,lemur,1,1
S11,goldfish,bullshark,1,1
S11,polarbear,spiritbear,1,1
S11,orca,dolphin,1,1
S11,beagle,wolf,1,1
S11,mouse,red-tailedhawk,1,1
S11,walru,tadpole,1,1
S11,goldfish,blownfish,1,1
S11,zebra,wildabeast,1,1
S11,corgi,goldfish,1,0
S11,squid,halibut,1,0
S11,crocodile,snowleopard,1,0
S11,sparrow,croc,1,0
S11,cat,leopard,1,0
S11,dragonfly,monkey,1,0
S11,killerwhale,halibut,1,0
S11,rottweiler,tubna,1,0
S11,puddle,labrador,1,0
S11,bat,mayfly,1,0
S11,ape,haibut,1,0
S11,rottweiler,dog,1,0
S11,worm,chimpanzeee,1,0
S11,seal,anteater,1,0
S11,crab,pelican,1,0
S11,bunny,goldendoodle,1,0
S11,elephant,blownfish,1,0
S11,corgi,aardvark,1,0
S11,dolphon,giantsquid,1,0
S11,tieger,yorkie,1,0
S11,croc,gibbn,1,0
S11,tieger,cat,1,0
S11,croc,cardinal,1,0
S11,sealion,goldenretreiver,1,0
S11,corgi,bird,1,0
S11,beagle,cockerspaniel,1,0
S11,mule,owl,1,0
S11,tibetanterrier,haibut,1,0
S11,spidermonkey,beagle,1,0
S11,salmo,greatwhiteshark,1,0
S11,shark,octopu,1,0
S11,hummungbird,lion,1,0
S11,goldfish,dog,1,0
S11,python,greatwhiteshark,1,0
S11,tibetanterrier,minnow,1,0
S11,germanshephard,tibetanterrier,1,0
S11,bloodhound,crustacean,1,0
S11,crab,bloodhound,1,0
S11,mosquito,sheepdog,1,0
S11,goldeneagle,labrador,1,0
S11,worm,butterfly,1,0
S11,tibetanterrier,humpbackwhale,1,0
S11,seal,shark,1,0
S11,germanshephard,lab,1,0
S11,sunfish,yorkie,1,0
S11,catfish,pug,1,0
S11,spermhale,python,1,0
S11,howlermonkiey,mantaray,1,0
