subj,node1,node2,u-invite,rw
S99,koala,polarbear,1,1
S99,dingo,squid,1,1
S99,mouse,duck,1,1
S99,plankton,lobster,1,1
S99,octopu,hyena,1,1
S99,rhinoceros,sealion,1,1
S99,dog,wolf,1,1
S99,whale,belugawhale,1,1
S99,crocodile,shrimp,1,1
S99,seastar,seacucumber,1,1
S99,pony,ferret,1,1
S99,shark,killerwhale,1,1
S99,iguana,crocodile,1,1
S99,seaurchin,crab,1,1
S99,cat,panther,1,1
S99,fish,whale,1,1
S99,canary,panda,1,1
S99,snail,camel,1,1
S99,flamingo,crab,1,1
S99,parrot,mockingbird,1,1
S99,honeycripser,cat,1,1
S99,otter,ox,1,1
S99,bumblebee,mosquito,1,1
S99,elephant,octopu,1,1
S99,mule,ox,1,1
S99,chicken,boar,1,1
S99,seagull,finch,1,1
S99,zebra,mouse,1,1
S99,koala,sloth,1,1
S99,monkey,ferret,1,1
S99,dolphin,bird,1,1
S99,crow,kangaroo,1,1
S99,eagle,alligator,1,1
S99,bird,lynx,1,1
S99,giraffe,spider,1,1
S99,redant,dragonfly,1,1
S99,ostrich,fox,1,1
S99,crustacean,fish,1,1
S99,cat,hamster,1,1
S99,bloodhound,cockerspaniel,1,1
S99,catfish,octopu,1,1
S99,bear,cat,1,1
S99,python,rat,1,1
S99,dove,pigeon,1,1
S99,falcon,bat,1,1
S99,squirrel,bunny,1,1
S99,housecat,ocelot,1,1
S99,fox,wolf,1,1
S99,magpie,finch,1,1
S99,hippopotamus,jaguar,1,1
S99,boar,buffalo,1,1
S99,iguana,marineiguana,1,1
S99,hammerheadshark,tigershark,1,1
S99,spiritbear,polarbear,1,1
S99,swan,bear,1,1
S99,tadpole,toad,1,1
