word,freq,aoa_mean,aoa_sd
allele,0.04,14.5,2.14
allergen,0.06,11.58,4.02
allergic,8.1,7.72,2.4
allergist,0.04,12.21,3.46
allergy,1.69,8.11,3.57
alleviate,0.45,11.39,2.97
alley,16.29,7.26,2.6
alleyway,0.78,8.11,2.83
alliance,9.12,11.28,3.16
allied,2.88,10.85,3.54
alligator,3.49,4.78,2.05
alliteration,0.18,13.86,3.37
alliterative,0.02,15.25,4.28
allocate,0.16,13.78,3.64
allocation,0.2,12.42,4.27
allocution,0.04,15.23,3.7
allograft,0.06,15.2,1.92
allot,0.16,13.67,5.37
allotment,0.37,13.28,3.89
allow,44.37,5.32,1.83
allowable,0.1,9.56,2.77
allowance,5.2,6.95,2.06
alloy,1.02,14.53,3.6
allude,0.2,13.11,3.21
allure,0.59,11.83,4.38
alluring,0.41,12.89,3.5
allusion,0.12,13.05,3.22
alluvial,0.02,16.78,4.29
ally,32.67,9.61,2.28
almanac,0.84,10.58,4.13
almandine,0.04,17.22,2.33
almightiness,0.04,8.89,3.16
almighty,8.75,8.47,3.55
almond,1.1,7.67,2.22
almoner,#N/A,13,NA
almost,193.27,5.47,2
alms,0.49,9.91,3.99
almshouse,0.04,17.8,5.39
aloe,0.29,8.95,2.54
aloft,0.73,9.82,3.44
aloha,2.92,10.15,3.25
alone,308.53,4.94,1.73
aloneness,0.02,9.06,2.15
along,182.94,5.41,1.65
alongshore,#N/A,11.6,2.03
aloof,0.65,13.41,3.04
alopecia,0.14,17.92,2.66
aloud,1.84,6.22,1.75
alp,0.12,11.77,3.83
alpaca,0.2,10.81,2.99
alpha,8.12,12.22,3.87
alphabet,2.49,4.22,1.52
alphabetical,0.86,6.26,1.63
alphabetize,0.1,7.11,2.47
alphanumeric,0.1,13,4.73
alphorn,#N/A,15,1.41
alpine,1.27,11.28,3.2
alright,79.29,6.28,2.37
also,206.43,6.64,1.61
altar,5.08,7.16,3.48
altarpiece,0.04,11.21,3.42
alter,4.78,9.47,3.42
alteration,0.71,10.17,2.36
altercation,0.73,11.67,3.18
alternate,3.53,8.83,1.38
alternating,0.41,12,2.28
alternation,0.04,12.32,4.1
alternative,9.33,10.11,3.55
alternator,0.35,11.32,3.13
although,42.02,8.08,1.9
altimeter,0.45,14.13,5.14
altitude,3.88,9.58,2.27
alto,1.35,10.19,2.76
altogether,6.41,8.35,3.44
altruism,0.22,15.79,2.51
altruist,0.02,15.5,3.57
altruistic,0.35,13.8,3.93
alum,0.14,13.06,3.86
alumina,#N/A,11.78,2.86
aluminum,2.25,7.26,2.84
alumna,0.02,14,3.35
alumnus,0.47,14,4.24
alveolar,0.08,15,2.58
alveolus,0.02,14.5,3.57
always,655.25,6.26,1.27
amah,0.02,14,4.64
amalgam,0.18,15.25,4.58
amalgamated,0.12,15.07,3.17
amalgamation,0.12,16.92,3.15
amandine,0.04,15.29,3.15
amanita,0.02,15.5,2.51
amanuensis,0.04,12,2
amaranth,0.04,15.73,3.52
amaretto,0.43,14.63,4.69
amaryllis,0.1,15.36,3.98
amass,0.06,12,2.95
amassment,0.02,14.75,4.91
amateur,6.55,10.53,2.91
amateurish,0.37,12.57,2.71
amateurism,0.02,12.88,2.76
amaze,1.61,7.5,2.73
amazed,5.12,7.17,2.96
amazement,0.71,9.22,3.12
amazing,81.71,5.22,2.1
