jeff,beta,numnodes,numlinks,probRewire,numedges,graph_seed,numx,trim,x_seed,cost_rw,cost_irts,cost_noirts,time_irts,time_noirts,bestgraph_irts,bestgraph_noirts,alter_graph,hit_irts,miss_irts,fa_irts,cr_irts,hit_noirts,miss_noirts,fa_noirts,cr_noirts,hit_rw,miss_rw,fa_rw,cr_rw,bestval_irts,bestval_noirts,bestval_rw
0.9,1.1,15,4,0.3,30,0,60,0.7,0,61,0,0,44:22.6,08:35.4,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,61,14,-808.5402309,-806.9717651,-1246.950191
0.9,1.1,15,4,0.3,30,0,61,0.7,0,62,0,0,46:09.1,08:46.2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,62,13,-823.9962895,-821.2348086,-1271.991372
0.9,1.1,15,4,0.3,30,0,62,0.7,0,62,0,0,44:30.3,08:20.5,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,62,13,-839.7105753,-837.2052328,-1292.84415
0.9,1.1,15,4,0.3,30,0,63,0.7,0,63,0,0,48:49.8,09:05.5,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,63,12,-857.2680689,-855.4560886,-1319.988358
0.9,1.1,15,4,0.3,30,0,64,0.7,0,63,0,0,48:49.4,09:20.3,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,63,12,-873.6721005,-871.5616487,-1341.225401
0.9,1.1,15,4,0.3,30,0,65,0.7,0,63,0,0,52:34.7,09:38.5,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,63,12,-886.3618843,-884.1325529,-1362.088771
0.9,1.1,15,4,0.3,30,0,66,0.7,0,63,0,0,54:59.6,10:28.6,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,63,12,-899.2780969,-896.4462048,-1383.014454
0.9,1.1,15,4,0.3,30,0,67,0.7,0,63,0,0,52:59.8,10:09.9,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,63,12,-910.6724517,-907.931006,-1404.12296
0.9,1.1,15,4,0.3,30,0,68,0.7,0,63,0,0,54:26.1,10:09.4,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,63,12,-924.485586,-921.7775479,-1424.884192
0.9,1.1,15,4,0.3,30,0,69,0.7,0,63,0,0,01:54.7,11:35.0,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,63,12,-936.0677364,-932.8030739,-1445.672675
0.9,1.1,15,4,0.3,30,0,70,0.7,0,63,0,0,55:40.7,10:23.9,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,63,12,-949.361618,-944.9349659,-1466.801894
0.9,1.1,15,4,0.3,30,0,71,0.7,0,63,0,0,59:11.0,10:49.4,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,63,12,-962.5131297,-958.2951489,-1488.096592
0.9,1.1,15,4,0.3,30,0,72,0.7,0,63,0,0,58:17.0,10:50.2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,63,12,-976.3119288,-971.7996894,-1509.262262
0.9,1.1,15,4,0.3,30,0,73,0.7,0,63,0,0,02:15.8,12:00.8,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,63,12,-988.1050231,-983.5089135,-1530.180912
0.9,1.1,15,4,0.3,30,0,74,0.7,0,63,0,0,57:09.3,10:32.1,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,63,12,-1001.442276,-997.5511297,-1551.694615
0.9,1.1,15,4,0.3,30,0,75,0.7,0,63,0,0,59:03.7,11:06.0,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,63,12,-1012.398451,-1008.557156,-1572.475556
0.9,1.1,15,4,0.3,30,0,76,0.7,0,63,0,0,57:27.4,10:27.7,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,63,12,-1029.314377,-1025.386891,-1593.370393
0.9,1.1,15,4,0.3,30,0,77,0.7,0,63,0,0,00:00.8,11:20.6,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,63,12,-1042.739493,-1038.910343,-1614.372046
0.9,1.1,15,4,0.3,30,0,78,0.7,0,63,0,0,06:07.6,12:45.5,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,63,12,-1057.509798,-1053.565669,-1635.447201
0.9,1.1,15,4,0.3,30,0,79,0.7,0,63,0,0,18:07.1,12:33.7,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,63,12,-1068.250197,-1064.45183,-1656.448131
0.9,1.1,15,4,0.3,30,0,80,0.7,0,63,0,0,34:36.5,17:19.7,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,63,12,-1081.670642,-1077.09547,-1677.444846
0.9,1.1,15,4,0.3,30,0,81,0.7,0,63,0,0,23:34.0,16:10.0,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,63,12,-1092.850056,-1088.556535,-1698.706935
